                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4                         5                         6                         7                         8                         9
                   E_norm                    M_star                    R_star                  Re(freq)                  Im(freq)                         l                      n_pg                 Re(omega)                 Im(omega)
  0.2962417683912302E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.7721185760587028E+000   0.0000000000000000E+000                         1                       -27   0.5116455601733642E+000   0.0000000000000000E+000
  0.4746805854441674E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.7961274544887162E+000   0.0000000000000000E+000                         1                       -26   0.5275550803356203E+000   0.0000000000000000E+000
  0.4103310706808474E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.8395684863659039E+000   0.0000000000000000E+000                         1                       -25   0.5563413468217445E+000   0.0000000000000000E+000
  0.9226249094669199E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.8644548683224919E+000   0.0000000000000000E+000                         1                       -24   0.5728323460434738E+000   0.0000000000000000E+000
  0.1077087984514638E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.9021182088596459E+000   0.0000000000000000E+000                         1                       -23   0.5977900164902825E+000   0.0000000000000000E+000
  0.6854465403246371E-001   0.6959434547443176E+034   0.3378619477416080E+012   0.9386219386118974E+000   0.0000000000000000E+000                         1                       -22   0.6219792690696530E+000   0.0000000000000000E+000
  0.2457134451756555E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.9948560118923461E+000   0.0000000000000000E+000                         1                       -21   0.6592428640880141E+000   0.0000000000000000E+000
  0.1207097724359907E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1033326434431440E+001   0.0000000000000000E+000                         1                       -20   0.6847353486628499E+000   0.0000000000000000E+000
  0.3874807081493040E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1081872300595318E+001   0.0000000000000000E+000                         1                       -19   0.7169043414285805E+000   0.0000000000000000E+000
  0.2052272487480982E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1152308763859265E+001   0.0000000000000000E+000                         1                       -18   0.7635791719802195E+000   0.0000000000000000E+000
  0.4686882965254918E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1199821994233574E+001   0.0000000000000000E+000                         1                       -17   0.7950638870541658E+000   0.0000000000000000E+000
  0.5335062205216596E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1295288071492022E+001   0.0000000000000000E+000                         1                       -16   0.8583246297574196E+000   0.0000000000000000E+000
  0.3760541524012915E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1349120054985326E+001   0.0000000000000000E+000                         1                       -15   0.8939964762894230E+000   0.0000000000000000E+000
  0.1106500823529244E+001   0.6959434547443176E+034   0.3378619477416080E+012   0.1473560137409941E+001   0.0000000000000000E+000                         1                       -14   0.9764568880116253E+000   0.0000000000000000E+000
  0.4006957672414981E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1564647400952786E+001   0.0000000000000000E+000                         1                       -13   0.1036816003081660E+001   0.0000000000000000E+000
  0.1588096514668627E+001   0.6959434547443176E+034   0.3378619477416080E+012   0.1701802797278123E+001   0.0000000000000000E+000                         1                       -12   0.1127702237087175E+001   0.0000000000000000E+000
  0.4231702005581474E+000   0.6959434547443176E+034   0.3378619477416080E+012   0.1862423572218399E+001   0.0000000000000000E+000                         1                       -11   0.1234137840267831E+001   0.0000000000000000E+000
